==== Start of Transcript: Personal Brand Coaching Week 6 ====

Coaching Week 6 - Brand Focus Group

[00:00:02] Sue Bryce | Start your dancing. I do my dancing before.
[00:05:22] Sue Bryce | So we ask for feedback because you don't know how good you are. You don't know how good you are. Now remember back in my business, 2006, I created a network of small businesses that I could market with called the brunettes in New Zealand. It was when I had my portrait studio, they were all amazing women, they were eight of them. I took 5 of those women, and we created this focus group around my brand and around me taking the next steps out of my portrait business onto an international stage.

[00:05:55] Sue Bryce | So I wrote create an evening, you know, this is what you're gonna do. This is how you can do the focus group. So this is like a face to face survey, but it's more like a focus group. Now, I said create an evening because I want you to do it in person, but you could actually zoom people into this, because if you have the right people in the room, you know, maybe 1 or 2 people can come in on zoom. But I would prefer it to be in person, why you're gonna feel a lot more truth.

[00:06:25] Sue Bryce | I would love it if it's your brand to do it in your space, because

[00:06:28] Sue Bryce | there's something about, like, I'm doing this in my studio or

[00:06:28] Sue Bryce | my art space or my space because it's about my brand, and I wanna really have you feel my space, and I think in person is incredibly strong. So I wrote create a group, create an evening, create a network, I wrote create a show, because as soon as I tell you what this focus group is, I can hear George and Craig going. That sounds like a show. That sounds like a show, and it could be a show, because all of this stuff is so incredibly interesting to everyone. So I want you to imagine this.

[00:07:07] Sue Bryce | I want you to imagine that you create an evening for five people, okay, and you could be number 5 or you could be number 6, but a small group would be better. Everybody positioned in this room is either a close friend of yours, client of yours, or

[00:07:22] Sue Bryce | somebody in your network, an associate,

[00:07:22] Sue Bryce | an associate person in the same industry, or just somebody in your business network that has chops around maybe you choose people who have who have marketing chops, maybe you choose people who have systems chops. Like, whatever you think you need in this focus group, make sure you choose the right person. Now the first thing everybody asks me is, do we pay them? How do we get them to show up? And there's lots of ways you can do this.

[00:07:51] Sue Bryce | Because if I was gonna do it, I would have a wine and cheese evening, and I would say, I'm buying sushi, wine and cheese for 5 extraordinary people, and I would reward them in some way, or pay for a chef's table, pay for it because what you're about to get from these people will blow your mind, and it will change your business. Let's come back to rewarding them later, and let's just talk about what we're gonna get from these people and why. For starters, do any of you out there right now feel uncomfortable that I ask you to create an evening where you're in the hot seat and everybody in the room is solely there to focus on you and your brand and your next steps. Does that make you feel excited, uncomfortable, deeply terrified? Does that make you feel cited and filled with enthusiasm, like, I just say it, and I'm getting goosey because I cannot wait to do this, because I know this one thing.

[00:08:52] Sue Bryce | I've got my questions prepared. You're gonna get your questions prepared today. You're going to know exactly what you want to know from these people by the time you walk out ahead today. Now you've got to get into this group. Now I don't want to go to an event where we're all focusing on our businesses at the same time.

[00:09:09] Sue Bryce | I want all eyes on my brand for a certain period of time. Now, if we're gonna do two people in one night, there has to be a clear cutting of my brand, a break, and then a new come back to the table with this new brand because I need all of this mastermind to come into this, like, just at this, what have we got? And we're listening to you. We're listening to the authenticity coming out of you when we talk about your market We're listening to your words when you're talking about your products. We're listening to you talk about your money and what's going on there and what you're attracting, what you're not attracting.

[00:09:48] Sue Bryce | We're we're talking to you about how we see you outside of you and saying it back to you Nothing will be more transformational as a business. The biggest feedback I got from last week's coaching was I've never positioned myself

[00:10:02] Sue Bryce | in any way, and that is why people

[00:10:03] Sue Bryce | want to become speakers and coaches because they believe that that positions them at something a little bit higher than what they're already doing, and you're not positioning yourself with your 3 by 3, you're not positioning yourself with your about page, and you're not positioning yourself by claiming those nouns of I am a speaker, I'm an educator, because you've got to do what you say you do, and that positioning is so vital, and it's something we don't do because we just sit back and we go, you know, I won't stand out or anything. I'll let people discover me because that's a great business model. Be discovered by other people and have them pay you. It does not work unless you're, you know, an incredibly talented singer, or something. It does happen for some people.

[00:10:56] Sue Bryce | So when do you ask for help? When do you get where do you get creative inspiration? Like, once you're a business owner, there's not many people helping you. You're helping everybody else. You're solving all these problems for everyone else.

[00:11:13] Sue Bryce | You're creating all the stuff for everyone else. When do you say, how do I take the next step? So you come to a surprise workshop because she'll align me, and she'll tell me how to take the step, but I can't talk to Sue. I'm in another country in the world. I need Sue to just be here, but if I was here, if you got me 1 on 1, write down, write down, what time would you spend with me?

[00:11:38] Sue Bryce | What could I do for you in 10 minutes, 20 minutes an hour that will help you right now? Write down the one thing you would come to me with right now. That's what this group is going to solve because I can't be there for everybody, but you know what? I know that once you work out what it is that you will ask me, you will know that you can create this as a system and a network around you. So when do you ask for constructive critique and get it, like, real constructive critique, not criticism, or, you know, not blanket critique, but when somebody can really just look at you and, and you can hear it and take it from them without feeling defensive or going to ego.

[00:12:25] Sue Bryce | When do you put the spotlight on you and on your business and say, how can I improve this? How can I get to the next level? So when I met Jen, bum, she's not here today, but I'll talk Jen up every week. So when I first met Jen, we did a consultation call as my brain coach, because I'm neurodiverse, and I need help. And I was deep in menopause, and I was having massive panic attacks and I could not work.

[00:12:52] Sue Bryce | I was starting to fall apart. My world felt like it was falling apart. And she said to me, what can I do for you and your brand? And I said, I want you to take me to the next level. And she said, okay.

[00:13:08] Sue Bryce | She later showed me her notes, and she wrote she wants me to take her to the next lever, whatever the fuck matters. Because she was like, how does she think I'm gonna take it to the next level. And I was like, because you bring something to me that I don't have, you bring systems, you bring grounding, you bring knowledge, and she's changed my world because I went for the one help that I didn't have, and she absolutely filled that gap for me and my brand. So what would I ask for? What would you ask me for?

[00:13:47] Sue Bryce | That's what you're gonna ask this group for, and I'll tell you what you're gonna ask me for. I know this because you all ask for the same thing. So wait a minute. Let me just finish this. So this focus group, each week, someone's going to take the hot seat.

[00:14:09] Sue Bryce | So if you did four people or five people, you could do this in 5 weeks. If you focused on one business, a week, and you've got to guarantee that those five people will show up for all 5 weeks because they can't just get their week and then not show up. You also have to understand that those five people need to contribute to the other 4 people's business as much as they've contributed. So you really have to pick and choose who this focus group is going to be because it's very, very important. I also need you to understand that if if it's about brainstorming if it's about feedback, you're gonna have to ask real clients to be there, which is awesome, because you always get a really good client that you become friends with, that you end up networking with, bring them.

[00:14:56] Sue Bryce | And also, this offers the power of multiple minds, okay, multiple minds helping to elevate one business at a time, but also we have multiple skill sets. Like, straight away, Mine's content, right? I'm looking for authenticity, I'm looking for content, and I'm looking for a true path. Now, if you put me in a focus group, I'm laser focused on watching you, talk about your business, and I will just be like, vroom I don't believe you. Cause that's what I'm there for.

[00:15:33] Sue Bryce | I want to feel it, and I'm the feeling person in the group. So, you know, you've really gotta identify when you do it, how many people and what they're bringing to the table, what is your superpower? What do you identify in your brand as your superpower? What do you identify in others as your superpower? Because if you think about it and you can build this mastermind of people, then imagine if you built a panel mastermind of people that anybody could come to.

[00:16:01] Sue Bryce | That's a show. That's like Shark Tank, when you've got 5 incredible solar perneurs, just sitting there pulling apart one brand. Alright? And also, when you say I'm ready and I'm good, and I'm this, and I'm ready to put myself out there, if it came down to it, would you be ready to go in that hot seat and put the business that you currently have with how you're operating, how you're talking about money, how you're marketing, and would you be prepared now to go and put that in that hot seat knowing full well that you have to put your money where your mouth is? Right?

[00:16:39] Sue Bryce | Cause it's exciting, because it makes you realize, okay, if I'm gonna do this seriously, then I need to take some steps that are gonna get me here, and I want So just so you know, after 35 years of being in, my career, and I was creating this focus group next week, and I'm the first one in the hot seat. I would be nervous. Sue would be nervous as a person, because I'm about to tell you what I really want. And I know how hard that is for you to tell me what you really

[00:17:15] Sue Bryce | want.

[00:17:21] Sue Bryce | Right? So I know what it feels like to evolve my brand. I have had 4 evolutions. I was a photographer first, then I was a business owner of a photography and makeup room. So even though I was still a photographer, my identity shifted significantly when I built that business.

[00:17:43] Sue Bryce | I was the manager of staff. I had eight people to pay. I was not a photographer anymore. I was a photographer slash business owner, and it came with an entirely new identity. When I left my business to become an educator, I was still an educator at a photographer, but now I introduced an entirely new part to my brand, Educator, And that started to dominate the photography, which was the point, so that entire identity shift as an educator and a photographer was a whole new person.

[00:18:20] Sue Bryce | Then once I established myself as an international photographer

[00:18:25] Sue Bryce | educator that was traveling the world, teaching in person workshops, I did my

[00:18:25] Sue Bryce | very first digital online class in 2012, and that put me into a world of broadcasting. I've spent the last 12 years broadcasting, podcasting, and that gave me an entirely new identity. I've had 4 evolutions of identity, and every single time I needed that focus group to tell me who I was. I needed that focus group to tell me who I was because every time I went to step, it would go blank, and I'd suddenly would not see it. The path would go blank, and I would just suddenly be alone.

[00:19:13] Sue Bryce | And I'm like, I can't see the next step. I can't see it. I can't feel anything. It's like, you start to curate the step, and then all of a sudden it's like this big step and it goes blank. You are meant to go blank.

[00:19:31] Sue Bryce | It is the moment you have let go of the last identity. And now the new identity is forming in the doing, it's forming in the action you're taking down here. It's not formed in the vision. It's formed in the doing of it. And as you're leaving the old identity of I was a photographer and an educator, but now I'm becoming a broadcaster, and and then, of course, the criticism online is in.

[00:19:53] Sue Bryce | She thinks she's a broadcaster now, which I am, and I'm making money from it. So yeah. And every evolution, every identity change, I was pulled apart. I didn't know who I was. I was desperate for validation, I was desperate for help.

[00:20:11] Sue Bryce | And if I could have talked to Sue Bryce, in that moment, I would've gone up to her, and I would've said, tell me who I am, tell me what I want, tell me where I'm going, and Suebras would've looked at me and said, honey. If you don't know that, You're not taking another step, but it still went blank. I stand at a crossroads before

[00:20:31] Sue Bryce | you today. I met a crossroads in my career.

[00:20:41] Sue Bryce | I need a focus group, and I need help. And you do too. So let's do this. Because this is what makes a community

[00:20:56] Sue Bryce | and a network so powerful. So I know if you could talk to me, if you

[00:20:56] Sue Bryce | could talk to me, and you could ask me anything, you would tell me what's going on right now in your life, and you would definitely tell me why you can't move on the next steps. You would skirt around what you really want. You would you would be like, I don't know. This is happening, and and I don't know what's going on right now, but like, I feel you would tell me where you feel stuck. But I know this.

[00:21:34] Sue Bryce | I know that you're doing this. So what I do is I start asking a series of questions, and there's about 10 questions that I ask that bring you to alignment with what you're saying and what you really want, and I start to go after that. Because if somebody says to me, I

[00:21:51] Sue Bryce | don't know what I want, I say yes, you do.

[00:21:52] Sue Bryce | Yes, you do. You do know what you want, because you know what you don't want, and you just start there, and that's knowing what you want. Alright? So I don't accept, I don't know what I want, and I would not let someone come to my focus group, who does not know what they want, because I need you to walk into this focus group with 5 powerful people and lay it out. This is what I want.

[00:22:25] Sue Bryce | And you've gotta be able to own that and and say, come on, these people are gonna help me bridge the steps to get here. This is so important, and you know what you don't want. So most people are really just hedging because they're like, can I do that? Is it permission? Like, can I do that?

[00:22:47] Sue Bryce | Can I be that? Can I build that? Really? Can I build that? Yes, if you want to, but if your heart doesn't want to do it, you're not going to.

[00:22:58] Sue Bryce | So until you can stand in front of me authentically and tell me what the content is and how you're connected to it, and that you want it, and that you're going after it step by step, then you won't. So if you really want it, yes, why are you asking me for permission? I already did it. That's enough permission. If she did it, I can do it too.

[00:23:18] Sue Bryce | Let's go. The conversation always comes back to, am I on the right path? Am I on the right path, Sue? Just tell me I'm on the right path? Am I on the right path?

[00:23:30] Sue Bryce | Am I on the right path? Am I on the right path? What makes you believe I can feel that? All I can feel is the authenticity of what you're telling me. If you're not on the right path, I won't feel it.

[00:23:44] Sue Bryce | You're the only one that can feel if you're on the right path or not, and then don't stand up and say, am am I on the right path? Say, this is the path I'm creating for myself right now, and I am holding to it. I am focused on it. I am building the steps to it. I know what I want, and I'm walking towards it.

[00:24:05] Sue Bryce | Every single day. Now, listen. When you feel like you can't see the path ahead and you've gone blank, now's the time. The identity is done. You're not holding the old identity anymore.

[00:24:20] Sue Bryce | You're now ready to become this new one, and it's done, and the doing take a step. In order to get rid of a feeling of uncertainty, I just want you to get certainty around what you really want and what feels good for you every single day. That is the answer to manifestation. What is it that I really want, focus, and that I feel good around it? This is what I'm building.

[00:24:42] Sue Bryce | This is what I'm doing. And if you wake up in a day where you simply cannot find your power, you cannot that means you need self care. It means you need to eat, shower, rest, solitude, replenish creatively. Can't put your pressure on yourself to perform every single day. Uncertainty is fear certainty is I know what I want, and I feel good doing it.

[00:25:10] Sue Bryce | If you feel the fear of the unknown, that is no such thing, that is a lie. And if you say, I'm afraid and I go, cool. What are you most afraid of? I'm afraid of the unknown, Well, if it's unknown, how could you be afraid of it? You're not afraid of the unknown.

[00:25:29] Sue Bryce | You're afraid of rejection. It's that simple. You're asking, am I worthy? So if you have a fear of rejection, answer the question, am I worthy?

[00:25:40] Sue Bryce | Am I worthy to serve?

[00:25:40] Sue Bryce | Am I worthy to create? Am I worthy to give? Am I worthy to balance am I worthy to be more? If you can't answer that, you won't take another step forward. And whenever you go to do anything, there's a big dash of ego, and ego is just validation.

[00:26:00] Sue Bryce | Am I on the right path validate me that I'm good and that I'm a good girl, and that I'm a good boy, and I'm making the right decisions for me, validate me that I'm good enough to do this, and I'm on the right path. Nope. Validate yourself. And you validate yourself not by saying am I good enough, you validate yourself by saying, this is what feels good to me, and this is what I'm working towards and focused on every single day, every single day. So every time I've taken the biggest step in my evolution around identity, I go completely blank, and I don't know who I am.

[00:26:37] Sue Bryce | And that's why

[00:26:37] Sue Bryce | a focus group will tell

[00:26:37] Sue Bryce | me who I am. K. So if you think I get feedback from my team, they've been with me for 12 years, 12 years. Callen has heard me drop. Probably 2000 keynotes.

[00:27:01] Sue Bryce | Like, I'm not saying anything terribly new for Keller.

[00:27:04] Sue Bryce | He's not gonna give me feedback, but when he looks at me,

[00:27:05] Sue Bryce | genuinely looks at me and goes, great broadcast today. I feel it to my core. But the feedback from my husband, that's not the same. He's my business partner, but he's my husband. And the feedback I get online, they love you, or they hate you.

[00:27:28] Sue Bryce | They don't know you. No one online the criticism is people who wanna be you. The people who love you wanna be you. That's not real. Because you can get all this love and inflate your ego, and then the next thing is, hate.

[00:27:48] Sue Bryce | You suck. You're not even good. You're old. No one wants to see your face. Like, That's the polarity of online, so you can't buy into any of it.

[00:28:00] Sue Bryce | Craig told me that the day I walked on to my very 1st creative life, March 3 2012, he said, I need you to know something. Soo they love you as much as they hate you. They don't know you. Okay? I don't know how I thought I was gonna process that.

[00:28:23] Sue Bryce | I don't want to be loved or hated. I didn't want any of that. Why couldn't they just take the information and be happy with it? Why did I have to be celebrated as a cult or criticized entrolled because whatever people are seeing in me is in them,

[00:28:43] Sue Bryce | so I'm just attracting that. So you can't

[00:28:43] Sue Bryce | buy into any of that. What do you want What do you really want? Is the most powerful, and the most scary, and the most demanding question that I've ever had to ask myself, and I have to say it out loud ingrid. Women are not raised this way. Men are raised to look after themselves.

[00:29:11] Sue Bryce | We are raised to look after others. We don't ask ourselves. What do you really want? And it is the most transformative question you can ask yourself because you can't lie. It's like, absolutely incredible.

[00:29:19] Sue Bryce | So for my focus

[00:29:22] Sue Bryce | group,

[00:29:34] Sue Bryce | the Super Ice focus group, because I want to do this too, because I'm doing this workshop with you, because I do all of my workshops. And when I did the self value workshop, I reinvigorated all the love in my life. My husband, my friendships, my self care, when I did the content curated workshop, I wrote personal brand and speak, which are my next two workshops. And when I did personal brand, I realized I am at a crossroad.

[00:30:07] Sue Bryce | I am at

[00:30:07] Sue Bryce | a crossroad in my career and sew you. So listen to this. For my focus group, This is what I would say. I just thought I'll give you an idea of, I mean, I'd say a lot more than this, obviously. But I wanted to give you an idea of what I would ask for in this group.

[00:30:29] Sue Bryce | I find myself at a Crossroads in my career. But rather than seeing it as a point of limitation or even stagnation, like instead of feeling stuck, cause I've done this evolution so many times, I recognize this crossroad, this time, my 4th evolution, 5th evolution, sorry, this is my 5th evolution in business in 35 years. I recognize it as unfolding this new chapter in my next identity. When you create the new identity, you're not becoming something outside of you. You're unfolding the truest version from inside out.

[00:31:13] Sue Bryce | And that's where I stand right now. I'm no different than you. I am absolutely no different than you. Success for me is rooted in this deep an alignment. I have to feel it.

[00:31:30] Sue Bryce | I wanna feel my path, I wanna feel my community, I want to feel my content, and I need to feel like I'm creating from a place of love and from a place of just creative obsession. I wanna feel that I'm on the right path, and I wanna feel that everything I'm doing is magic. And I know that when I really look at what I want, and what I want to create, that's what I want. So this inner alignment, is not about external achievements. I don't want to sit in front of you and say, I want more money and I want external, and I want to be on Mel Robbins podcast, and I want to be on those are achievements, but they're physical.

[00:32:18] Sue Bryce | They're not for me, and they're not for my alignment, and what I wanna create. And they're also, You have to understand. When you start to conceptualize this new identity, you're like, I wanna speak around the world, do you? Do you have a family that you can travel around the world without your family? Do you have a supportive partner that will look after your children while you're traveling the world?

[00:32:46] Sue Bryce | Is that logistically even a possibility for you? Because sometimes we think of goals But when we actually think about doing them, living them, and actually creating that, like, energy, it's not really what you want. So it's so great to explore this space. I want clarity. I've gathered this incredible group of people because I value your insights, I value your wisdom, I value your perspectives, and I would like your help to illuminate my path ahead.

[00:33:22] Sue Bryce | Right?

[00:33:22] Sue Bryce | Because this is what I want to do, and I want a focus group dedicated to

[00:33:26] Sue Bryce | me. Does that make you feel uncomfortable, incredibly excited, or absolutely terrified? Alright? Tell me. Tell me now.

[00:33:47] Sue Bryce | So for my focus group, I prepared a short survey. The reason I did it in survey is because I'd love your feedback and your words. Right? Smart, because that survey can be online they can have their iPads there, you can have laptops there, you can tell them to bring a laptop so they can do an online survey. Or if you want to print the survey out, you can give it to them to mark, but it's very important you give them time to write in their words so that you get their words for chat so that you can curate more content around their words.

[00:34:22] Sue Bryce | So I have some product ideas to show you. The products that I already sell, I wanna show you how I sell them, and and what comes with all my packages so that you can give me feedback, but I would absolutely love to show you the new products I'm developing so that you can give me feedback and suggestions around how I can network and market that. And I would like to discuss further networking opportunities and show you some of my marketing content so that you can give me feedback as to what resonates, what feels the most authentic for my brand in me, and then anything else that I would like to know personally. Are there any questions?

[00:35:05] Chatroom Host | I had a few questions about how do you structure this focus group? These are clients and business owners?

[00:35:11] Sue Bryce | Okay. So logistically, it comes down to this is how you're gonna do it. If it's for you and you're just inviting a team of people, you can have ten people there, but they have to be, they're a best friend, a client, someone in your marketing network, or somebody that's going to bring something to the table. Now, if you're gonna do that, you have to reward them, right? Mhmm.

[00:35:38] Sue Bryce | Because why would I come to your work give you my expertise for cheese and crackers. Okay? So this is where you have to work out how to structure this for you. But one of the most interesting things is if I chose 5 businesses, then it would stand that five people rotate in 5 weeks, in five people, or you could do 2 at night, and, you know, or whatever, six people in 3 weeks, six people in 6 weeks, it doesn't matter as long as you have commitment from all of those people. Then you can do it that way.

[00:36:20] Sue Bryce | You know, it's two different things when I say a focus group of people you know, and then a focus group of 5 other businesses that will take turns. Those are 2 completely different events. Which one are you most drawn to, I'm so sorry. I think I'm getting allergies. I don't know why.

[00:36:39] Sue Bryce | I've never had allergies in my life. But I moved to Arizona, and this guy said, do you have allergies? And I was like, no. And he goes, you do now. And I was like, wow, it was my first day in Arizona.

[00:36:53] Sue Bryce | I stopped at a gas station. I sneezed, and a guy goes, Do you have allergies? And I was like, no, I don't get allergies. I definitely got allergies. Sorry.

[00:37:01] Sue Bryce | Okay. So rewarding them or return the service, return the service. I feel like if you're gonna return the service, So Melissa is a natural network car. She loves networking, and you would create a networking group like this in a heartbeat. So one of the things I would just warn is if you are the pole position organizing, you have to make it very clear what people get during that time, and that everyone has to contribute equally.

[00:37:31] Sue Bryce | So that's why four people might be better, because then it's only 5 weeks, or, you know, like, make sure that you're very clear about what you're bringing to this table. And obviously, if I'm in a networking focus group with Joe, and I'm in a networking focus group with Sam, and I'm in a networking focus group with 2 other people, but these 2 are can consistently, like giving, like, content to these people that I'm like, oh my god. I would grab those two people and keep changing out my 4th and 5th until I get this like, mastermind of just brand builders that are just gonna give you content ideas. Now, maybe it's content. Maybe it's

[00:38:15] Sue Bryce | content for your products and content for your marketing. So you want four people that are

[00:38:15] Sue Bryce | content oriented, that are content marketing. Now, when I'm working, Melissa, if you're pole position, if I'm working on Kate's brand, I'm not talking about myself, unless it's relevant to Kate. I'm not there to associate what Kate's getting for me. Oh, I'm the same. I'm the same.

[00:38:41] Sue Bryce | No, no, no, you write that down, and you bring it to your focus group. Because one of the hardest things to do is to create a group of people around you and then stand at the center of them and say, give me everything I need. Cause we feel bad, and we're all like, oh, oh, but you can't have people giving more or less than others. Oh my gosh. Thank you.

[00:39:05] Sue Bryce | So there you go. It's, definitely something you have to manage.

[00:39:12] Sue Bryce | Can you talk a

[00:39:13] Chatroom Host | little bit about the difference between these focus groups and the questionnaires that you send out to current clients.

[00:39:19] Sue Bryce | So the difference between a survey would be for feedback for people that you've actually served, and that's hard to hear, but it's very vital. But to me, the actual face to face is just an in person survey, but I've written all the questions that I want to know, and so I'm gonna give you all my questions to see if any spark you for your brand. So think about your brand first. So what questions to ask? Where do you need clarity?

[00:39:49] Sue Bryce | Where do you need clarity? We've already identified we're on a content umbrella with you. So we know we've defined it. We're now getting definition of the

[00:40:05] Sue Bryce | content, in vertical. So you're already taking

[00:40:05] Sue Bryce | that step that tells me you need more content focus group. You need a focus group that can make products. You need a focus group that can throw so many content ideas with what you're presenting that you can just easily start to go, yep. I'm gonna pull from that. Yep.

[00:40:26] Sue Bryce | I can pull from that. I love that feedback. Wow. They said that about me. So maybe in your client survey that you send out, you can ask, how did we do, you know, and in your own words, where can I improve?

[00:40:43] Sue Bryce | What would you like to see and you're getting all that feedback? And then your in person focus group is more asking questions around what you most need clarity around. So If you give people words in a survey, like a multi choice, they'll choose a word, but that might not be your word. Like, let's say I give you 4 adjectives to describe, a situation in your business, but you don't really think awesome or, you know, struggle is either, like, you're just, you're gonna just choose a word that is, and then what you're gonna get is a percentage of the multi choice. Like 18% said they're struggling, and 39% said they're okay.

[00:41:26] Sue Bryce | And that gives me nothing that just gives me a broad idea of what my audience is kind of struggling with. So if you give people words, they choose the words, but if you give if they give you their words, that's when you can create marketing copy from their words. Right? So there's lots of other ways to use surveys. Like, let's say, let's say you've created a little survey, but it's more of a fun one, and you put it out there on your social media.

[00:41:58] Sue Bryce | Answer these 10 marketing questions, and tell me why you're not making money in your small business. Can you imagine that? Now, that's clickbaity. Straight away, it's said something that makes me wanna go, What would the 10 marketing questions be? So straight away, I'm gonna click on to that reel, and I'm gonna look at those 10 marketing, and I'm gonna either answer a survey.

[00:42:21] Sue Bryce | It's harder to get people to leave social media to go and do a survey base. So if you can do this on your reels, if you can do it on polls, if you can do it on stories, you're getting constant engagement. Even if it's one to ten people, you're getting constant clicks, you're getting constant engagement. Now when you post, they look at how many likes, how many views, how many shares, and how many bookmarks. So every time you post, like it, share it, bookmark it, and send it to somebody else because it's you doing your own post, those things that get activated, you want as many people to save it as possible.

[00:42:58] Sue Bryce | Now if you put out a little survey like this, answer these 10 marketing questions, and tell me why you're not making money in your business. If you had a marketing course, that's the perfect thing for you to do because it instantly, even if they don't take the final step, which is a call to action, that right there is giving people information, and it's built your reels. What about this one? Answer these ten questions about self esteem or self worth, and tell me if you need to do a self love workshop. That question alone would be intriguing to so many people.

[00:43:35] Sue Bryce | Because that means the next ten questions I'm gonna ask are about your self worth and about your self esteem. And what happens if you start going through my questions and they start triggering and you, oh my gosh. I don't love myself. I don't feel connected at all, and then the final slide is this is my self love workshop. They can choose to keep clicking, but this is how we use surveys.

[00:44:00] Sue Bryce | This is how we use questions. This is how we use feedback. What if you created a brand new course, like personal brand? You put it out there, you started to sell it. The first thing I wanna do is survey my students, and I wanna survey them anonymously in the beginning.

[00:44:16] Sue Bryce | Or I can just choose to be anonymous whenever I want so that they can give me more real answers. But really, once I survey you, I get real stats. Okay. I don't get the fake version when I'm teaching the class of, like, how many of you guys are networking? Yeah.

[00:44:35] Sue Bryce | 80% of the room puts their hand up. But when I asked you in the survey, are you going to in person networking? It was only 18%. So you're either lying to me in person, or you're just like, yeah, what about? So that helps, like, narrow down to the truth, and it's about, like, getting that selling on the periphery.

[00:44:57] Sue Bryce | Because you're not selling anything. You're asking people questions about self value.

[00:45:00] Sue Bryce | You're asking people questions about marketing. Are you doing this in

[00:45:01] Sue Bryce | your marketing? And if your course is those 10 things. Ask the 10 questions of the 10 things you teach. And on your last slide, say, because I teach every one of those points, so how many of them do you need to learn to take the next step in your business? That that is connected marketing, that's surveying, that's asking

