==== Start of Transcript: Personal Brand Coaching Week 8 ====

Coaching Week 8 - 

[00:00:00] Sue Bryce | Hi, everyone. Sarah said
[00:03:18] Sue Bryce | an answer. Simply acknowledging that you're you're part of the equation, what do I want? I'm in control of this. I can

[00:03:18] Sue Bryce | change this at any time is enough. But when you do this, the $1,000,000 dream, the multiverse, when you create a vision for yourself, I need you to see it. I need you to taste it, and I need you to feel it. Because whatever vision you create for yourself, if you can't see it, taste it, and feel it, you're not connected to it. And if you can't see it, taste it, or feel it, it might mean that your people pleasing somebody else's dream.

[00:03:57] Sue Bryce | So we're gonna nip that in the bud in the first two slides. 1, my brand is what I who I am, and I know who I am, and now I know what I want for this brand, and now I'm going to create a timeline to it. I'm gonna make my goal

[00:04:13] Sue Bryce | so clear and so strong that my next step is to create a

[00:04:13] Sue Bryce | timeline to it and then hold that focus every single day. I'm gonna lock in my 3 by 3 I will change my 3 by 3 every 3 or 4 months. I can change my 3 by 3 to suit any networking room I'm in. I can make it more casual, more conversational.

[00:04:35] Sue Bryce | I can up my 3 by 3. And as I take each

[00:04:35] Sue Bryce | step closer and closer, for instance, when Melissa was writing a book, she did not write author on her 3 by 3 because her book was not written. And I said to her, you're not an author until you've published your book and then you're an author. So then she can put author on her 3 by 3. You're going to change. You're gonna develop.

[00:04:56] Sue Bryce | Your 3 by 3 is gonna change. What is the most important part about your 3 by 3? It's clarity for marketing. It positions you, it's ownership, and it's your identity. And until you can own your identity and really own who you

[00:05:10] Sue Bryce | are, you can't confidently market yourself as a personal brand and your business.

[00:05:10] Sue Bryce | So what you're looking for here is full ownership I hate generic 3 by threes. And inevitably what happened is when people start, it's like, hi, I'm Sue Bryce, and I like photographing timeless legacy portraits and fluffy bunnies and walking on the beach. And it's like, that's great. It didn't position me with a position of power. It didn't say who I am.

[00:05:38] Sue Bryce | It didn't say what I can do for you. It didn't say you're my target. It didn't say how I can change your world or change your life. So make it better. Make it incredible.

[00:05:48] Sue Bryce | This is the ownership of who you are, and you need to start describing yourself with a little bit more value, you know, like the dudes do. Like my mom told me I'm awesome, therefore I am. So you've gotta start stepping up to that 3 by 3.

[00:06:06] Sue Bryce | You need to tell me what is your brand story.

[00:06:06] Sue Bryce | I need to know. What is it? And what's special about you? What's interesting about you? And when if you're a building a brand, whether it's a creative brand or a personal brand or whatever you're building, if you're building something, other people around you that are building a brand, are looking at you for what reason?

[00:06:28] Sue Bryce | What makes you different? What makes what is your superpower? What makes you stand out? What is good about you? And, you know, what did you do?

[00:06:36] Sue Bryce | What did you discover about yourself? What did you

[00:06:38] Sue Bryce | learn about yourself as you're

[00:06:38] Sue Bryce | building this brand? Like, How did you make this? How did you create this? How did you overcome these odds? How did you make this money?

[00:06:47] Sue Bryce | How did you qualify for this? How did you build that? And how that's what I'm interested in, and you don't even see that as important. But if you know your brand story, you know your wife, if you know your wife, you can tell people why you do it, and that's what people connect to. Alright.

[00:07:02] Sue Bryce | Remember when I said, what do your clients aspire to be? So if you look at your brand and your product, when a client looks at you, they aspire to be something. It could be status. It could be, you know, being seen. It could be there's something about what you do that that's what they want.

[00:07:21] Sue Bryce | And you need to find out what they aspire to be because if you speak to what people aspire to be, that's what they want. Like, if I am photographing people and I say, I'm gonna change the way you see yourself. I'm going to change the way you love yourself.

[00:07:38] Sue Bryce | I'm going to change the way you show up in a room, then I'm marketing to what they aspire to be,

[00:07:38] Sue Bryce | more important, more seen, because that's what people want from me. So if you know this, find out when it comes to you and your brand and your product and your service, what do people aspire to be, and more importantly now, what do you inspire to be? Now look at this. What do your clients aspire to be? Market to that.

[00:08:07] Sue Bryce | So if you find out people want to be free, they wanna be youthful, they wanna feel they want self care, that's what they aspire to be. Market to the one thing that they aspire to be. Now when it comes to you, you and this brand, what do you aspire to be in this brand? Because you might not be talking yourself up right now because, you know, you're new at this and you've got imposter syndrome, and you might not be doing it yet even though you're doing it, but you're not quite doing it. And there's a lot of uncertainty and a lot of, you know, identity crisis and a lot of imparts to syndrome.

[00:08:41] Sue Bryce | But if you can tell me what you aspire to be and then embody that, like embody it. So if you wanna be seen as a professional instructor, act like 1, look act like 1, act like you have this knowledge, act like you have this service, act like you have this content, but you need to embody the one thing that you aspire to be, and you need to tell them what they aspire to be because that's your job. So what do you want? What do you want? Remember?

[00:09:15] Sue Bryce | What do you want? Sometimes this does not require an answer. It's just to acknowledge that you have options, you're part of the equation, you're part of the decision making, and you have the power, and no longer Will anybody tell you what you should do with your brand when your gut instinct is telling you not to do it? So no more people pleasing, no more listening to other people's rules, you've gotta make decisions based on what you want, And sometimes all you have to say inside is do I want that? Just to yourself.

[00:09:49] Sue Bryce | You don't have to speak it out loud. Just say do I want that? And if the answer is no in your heart, you have to set a boundary. But it's just the asking. I bet you none of you ask yourself if you really want this.

[00:10:06] Sue Bryce | You know, when you get a difficult client, do you ever ask yourself? Is it worth it? Is this client gonna get better or worse? Is this client gonna drain me? Is this client gonna take away my creativity?

[00:10:17] Sue Bryce | Is this client not gonna give me what I'm worth? Why would I say yes to that? Why? So you have all this power now because nobody is making your brand better or less you are. So now you have to say, I'm the one that has to acknowledge, is this what I want?

[00:10:36] Sue Bryce | Now sometimes you might say yes to something you don't want to, you can ask yourself, do I want this? No, I don't. Can I set this boundary and say no, no, I have to do it? I've said I'm gonna do it. You show up to say you're gonna do what you're gonna do.

[00:10:50] Sue Bryce | But the next time you set a boundary, Okay? And this is so important. I want you to keep asking, what do I want with this brand? What do I aspire to be? How do I wanna feel every day?

[00:11:03] Sue Bryce | What what do how do I want others to see me? How do I want to embody this new role of the owner of this business of this to be this creator, this speaker, this teacher, this influencer? How do I want to show up to that and keep asking the I question

[00:11:21] Sue Bryce | because what you know and what you feel and what you believe is more important than what anybody else can tell you. This is really simple for me.

[00:11:21] Sue Bryce | Full in love with your products. If you don't love your products, you can't tell me about them from a place of love and you can't sell them to me. You cannot sell from guilt and shame. You can only sell from value. So falling in love with the product that you make with your hands is your only goal here.

[00:11:51] Sue Bryce | If you don't love this product and you can't speak about it in a full place of love and joy, you can't sell it. It's not connected to you, period. These are the 8 products that you can focus on right now. Stop procrastinating. What do you want to make?

[00:12:09] Sue Bryce | What do you want to develop? What do you want to build? These are the 8 products you can make in these 8 products is unlimited creative potential. In the multiverse, when you get out of your own way and stopping like, can I do that? You get out of the validation, you get out of the permission.

[00:12:30] Sue Bryce | Once you get out of all of it, you tell me if you can make any of those products. Don't ask if you can make any of them, You tell me what you got. What do you got for merchandise? You got any cool ideas? What have you got for a physical product, a digital service, a physical service?

[00:12:46] Sue Bryce | What have you got as a digital product? Make money while you sleep, friends. Stop asking for permission as to if you can make one of those products and go and make something you're in love with and then sell the hell out of it. Well, you're sleeping. Then then come and say, Sue, I just made $10,000 this month sleeping.

[00:13:11] Sue Bryce | That will make me happy. Stop procrastinating. Stop asking if you're good enough for those and start telling me if you have the content to fill any of those spaces because there is a need for every one of those products and the people that need them are just like you. It comes down to multiple revenue streams. There's a very high profile multimillionaire speaker on Instagram going right now on a real going.

[00:13:43] Sue Bryce | Multiple revenue streams. The stupidest advice I ever heard I wanna make impact on the world and 100 of 1,000,000 of dollars. And I'm like, cool, buddy. I wanna pay my mortgage. Meehaw.

[00:13:56] Sue Bryce | So I'm not trying to impact millions of people. I'm trying to impact myself. First, because it's my life, my voice, my business. Then I'm trying to impact my community and the people that are most attracted to me. I'm not starting out here going, I'm gonna impact the world millions of people.

[00:14:18] Sue Bryce | Cool. Impact yourself, man. You know, we're all just trying to survive this. Like, it's not I'm I'm not trying to be world famous. I'm trying to create an income doing what I love doing, helping people in my community doing it.

[00:14:34] Sue Bryce | So multiple revenue streams for me are how you make lots of money, but really the revenue stream I really want you to activate is digital products. Because there's just no reason you should not create digital products and business or for your clients or for other business owners because it's just making money while you sleep. So the next big step was what made something valuable. And as I told you, you just found out the whole value thing that people struggle with so much that I struggled with so much is because in my personal life, I didn't have self value. I was too worried about my body, my weight, my age, my appearance, to put myself out there.

[00:15:20] Sue Bryce | That wasn't self value, so I struggled to find value in my craft. And especially if I have no self value and I make the craft with my own hands, I knit a jersey and I have no self value, then if I put this jersey out there and you say This is a beautiful jersey. I would pay $200 for this, and you made it just for me, and I would feel incredibly validated. But if you said that's a shit jersey, I mean, entry level, not your best work, like, you can't sell it for $200. People over there make way better jerseys for like a $100.

[00:16:05] Sue Bryce | Who do you think you are? Shame, shame, shame, shame. And you can see if you're looking for validation from the people who are looking at your product, you'll never get the truth. You only get what you don't wanna hear. So what's valuable is what's valuable to me because then if you don't value it, I go, oh, not your value, but you can't shame me for valuing something.

[00:16:33] Sue Bryce | Because when you said that my product was shit, you threw shame at me. And because I'm not, because I don't have strong self value, I took that shame and I slapped it on my face, And I decided in that moment I am shit, and I'm not with other what other people charge, and I shouldn't have put that out there because you just told me that. And and it really hurt And it's nothing to do with you, and it's nothing to do with you. It was me. Now if I made that and I valued it and you said it was shit and she paid $200, I'd never see you again.

[00:17:16] Sue Bryce | You're not my client. It's not not important. She just paid $200 and thanked me and then put it on her social media. And because I value it right now in this moment, as a client. I now value her as a client and not you because I have self value.

[00:17:37] Sue Bryce | I'm sorry. I made you do that. I do pick people sometimes, and they're like, oh, no. And I really did a save it. But you know what I mean?

[00:17:47] Sue Bryce | So the value must come from you intrinsically. And the only way you can do intrinsic value is to make something you love, and then other people will be attracted to it because you love it because you find it valuable, not for any other reason. Product focus is really important because this is connection. And when people say what is connection, it's what is valuable to you. So ask these questions, and I want you to do the focus group with your product.

[00:18:13] Sue Bryce | Because these questions are the most important. Is it valuable to you? You're the one making it. You're the one selling it. If you can't tell me the value, you don't value yourself.

[00:18:23] Sue Bryce | It's that simple. Is it desirable? Are people asking for it? When you show something, do people go that's incredible? How do you do that?

[00:18:32] Sue Bryce | How do you get that? Have you written a book? Do you teach that? Do you mentor people are asking you? Is it desirable?

[00:18:41] Sue Bryce | And if they're not asking for it, you're not showing it in a desirable way. You're probably trying to sell it, stop selling it, and just share it. Is it priced with a margin for you? Cause if it's not, it's not sustainable. Is it joyful to create?

[00:18:56] Sue Bryce | Is it joyful to make? Is it joyful to share? And is it joyful to sell? Oh my gosh. I just got goosebumps all over my body when I said, is it joyful to sell?

[00:19:07] Sue Bryce | Because have you ever considered that you would love something so much that you would just not stop selling it. You you just wanna share it. You wanna tell people about it. You don't feel like that about your products right now. Do you?

[00:19:23] Sue Bryce | That's falling in love with your product. Now if you think of that connection, I don't need to sell what I do. I haven't sold a photo shoot for 20 years. I don't need to. I just show people what I do and talk about why I love it and people are in.

[00:19:43] Sue Bryce | That's magic. I love what I create. So it's so easy to share. Alignment. I want you to feel alignment with what we just talked about.

[00:19:58] Sue Bryce | The brands you've created around you. I want you to feel alignment with who you are in that brand, the products you're creating around it, the content you're creating around it. Do you feel alignment? Alignment is when your actions, values, and purpose are all moving in the same direction. It feels good.

[00:20:17] Sue Bryce | It's feeling connected to what you're creating and selling because it's a true expression of who you are. It's about being in harmony with your work, with your energy, and with your vision so that everything you do feels authentic, and empowered, and that's where you're gonna find your value. I want you to print that slide. I want you to put it on the wall in your office, and I want you to say every single day in this business, my job is to come here and get into creative alignment with who I am, what I do, what I've created, and what I offer people, feel that alignment. It's like magic, and it's so crazy because it's so elevating and you can just empower yourself in a room with nobody there, and then you'll touch your computer and there'll be 3 new bookings.

[00:21:04] Sue Bryce | You'll touch your phone and there'll be an opportunity for something you've wanted for months because that creative energy, it's like a vortex of action. Alignment brings action. You don't have to take action. You don't have to force yourself to take action. You have to get into alignment and it forces action.

[00:21:24] Sue Bryce | How can it not? If we called up for lunch and I bought all my drama to you, this woman said this about me, and this guy said this, and I can't do this, and I feel like shit. This is, and they said that you would leave going, well, we trauma bonded over gossip. Right? And that to me is not alignment.

[00:21:45] Sue Bryce | Alignment is when I come into a conversation, and I'm like, how are you doing? I'm great. Business is great. I love doing what I do. I love making what I make.

[00:21:53] Sue Bryce | I love selling what I sell. This is what I'm creating next. This is what I'm currently working on. This is what I'm building. What are you building?

[00:22:00] Sue Bryce | What are you working on? I wanna go to this lunch and have you walk away and go, that's why I like so many time with you. We talk up We talk up, we talk out our creativity, we don't talk about other people, we don't talk about things we don't like. We don't talk about things we don't want because we're just gonna manifest more of them alignment, every single day, alignment with money, alignment with your goals, alignment with your business. Alright.

[00:22:28] Sue Bryce | So I'm taking way too long because I'm at slide number 15, and there's a 111 then. K. And I said I wasn't gonna explain each slide. So I was like, so let me chop through a few of them that you know you know this content. Put one product at a time on the table.

[00:22:46] Sue Bryce | Let's look at it. What is it? Describe it, find the value of it. What is the system and the process of this product or service? And you have to do one at a time.

[00:22:57] Sue Bryce | Okay. Number 1, if you're manufacturing physical products and you're either manufacturing, shipping, or storing. Physical products are in person experience. Digital products are downloadable, and digital services is anything you can do online. All of those things come with an experience.

[00:23:15] Sue Bryce | Okay? And you have to create an experience for every product you have because if your clients are buying in person, the experience will be how they were served. And if they're buying online, it's the customer service, how quickly you can fulfill that order how much follow through you have. And if you cared enough to follow through with somebody that had spent money with you online, is the product gonna get there on time? Are you seeing them?

[00:23:41] Sue Bryce | Because if you go to sleep tonight, and and somebody in Paris has ordered your stuff and it was damaged, destroyed, you didn't care bad customer service, you're gonna wake up to a customer service nightmare. But more importantly, the challenge with this slide is what is the experience that your clients have with you? I want you to ask these questions as you put everything on the table. Is it profitable? Is it sustainable to produce?

[00:24:09] Sue Bryce | Is it priced for the market? Do I feel good about selling it? Do I feel good about marketing it? Period. Now as it comes to marketing this product and sharing it, these are the 3 big questions.

[00:24:21] Sue Bryce | Do you have a following or an audience currently? What do they know about you personally, and what do they know about this product? And I can guarantee if I challenged all of you to send me screenshots of your Instagram, or send me a link to your Instagram, I would challenge how quickly, how many slides or reels or posts I would have to go through before I got information about you, clear information about what you do, what you sell, how you sell it, why you do it, how you do it. And I guarantee 90% of you would fail at that challenge because you are not making it clear what you do, who you are, and what you sell, and what your product is. And I think that that is very, very important.

[00:25:12] Sue Bryce | Okay. This is a big one. Do you have any social proof? I need you to start asking for it. I need you to beta test every single product you have created so that you can get testimonials so that you can get feedback so that you can practice so that you can cut the fluff and so that you can connect the content to real people in real time because they are the best testimonials for you.

[00:25:36] Sue Bryce | I want you to survey your client base and find a way, go back through the survey session, find a way to make it interesting, and make it fun so that you can get all of your questions answered. When it comes to putting you out there, remember this when you're struggling to find your value. I am as a viewer and a client most interested in how you do it, how you use it, why you do it, and why you value it. Those 4 things. It's more important to me that you show me how you do it, how you use it, why you do it, and why it's valuable because I will understand everything from that simple communication, and you're trying not to make it about you.

[00:26:20] Sue Bryce | But you're making it about me, but you're showing what you do for me, because you're making it about me when you show me how you use it, and you're making it about me when you tell me why you do it. And then you're making it about me when you tell me why you value it because you're not trying to sell me something, you are literally telling me the value of it to you and that means something I can feel that that's so important. Money is a value metric. If you're coming into the first two levels of money, which you absolutely know a survival mode and stabilization, you're not going to have a successful business until you get to management. You're just not.

[00:27:03] Sue Bryce | You are operating from guilt and shame because you can't ask for money and you won't receive money, you will go no further. So if you are there right now, you're in complete survival mode with your money, you need to do some work around your guilt and shame, around your self value, and your worth, or you will go no further in this business. These are your money levels, you know this. You've already identified which level you're at. Every single day from now on, you're gonna create a daily ritual to get to the next money level.

[00:27:38] Sue Bryce | So if you're at stabilization, your focus is every day to get to management. You're gonna go and look at what you require to get to a management level and every day refocus the money in a good energy deal with the guilt and shame that comes up. Focus on that money energy and what's your money grow. When you avoid your money, it falls away from you. It goes away, but when you embrace it, it just it just keeps growing, and it keeps growing, and it keeps growing a daily ritual.

[00:28:07] Sue Bryce | I want you to say this out loud whenever you feel bad about money, Money is not emotional. I am. Money is not emotional. I am. However, you do understand that if you put emotion into money, it's gonna be guilt and shame, or it's gonna be love, greed, and neither of those will bring you money.

[00:28:30] Sue Bryce | They will both repel money exponentially from you. So what you need to do is look at money like a byproduct of a joyful life And you've also gotta look at it as the numbers don't lie. The more I focus on them, the more money grows. The best piece of advice I can give you around avoidance is stop avoiding it. You simply fix it.

[00:28:52] Sue Bryce | The second you stop avoiding it, you simply bring your energy to it and you fix it. And a daily ritual means every day I'm fixing my money and every day I'm going to the next level. It's how I got to thrive because you cannot thrive with guilt and shame. And remember guilt and shame specifically are the 2 energies that are pushing money away. You can't ask for more.

[00:29:15] Sue Bryce | You can't ask to be paid. You can't communicate value if you feel guilt and shame. Deal with it. So to me, I look at money as past present future because past is your old programming, present is what you're doing with your money energy right now. All paths of manifestation are about focus and emotion.

[00:29:35] Sue Bryce | So that means I've got to wake up every single day, look at what I'm focusing on and how I feel about it. So if you wake up tomorrow in yesterday's emotions or with yesterday's money pain, what are you going to attract today? More of yesterday's drama and more of yesterday's money pain. Your goal is to get your focus and your emotion, get your focus locked into what you want, and get your emotion clear. Every day, that's it.

[00:30:01] Sue Bryce | I just have to get rid of this past programming that holds on to anything. Someone said something about me. Boohoo. Somebody did this. Somebody trolled me online.

[00:30:12] Sue Bryce | Somebody criticized my work. These things take some processing. But if you're processing this drama in the morning and you're not getting rid of it, you're taking it into your day's work. Why? It wasn't personal.

[00:30:25] Sue Bryce | It was business, and it was an equal exchange of value. And if you drop the ball, you're the one that didn't show up in an equal exchange of value, so you learn the lesson and you fix it for next time. In order for more to come to you, you have to ask for more and then you have to activate the timeline to it. You can't pray for something and then stay sitting on the couch wondering when it's gonna arrive. It doesn't work like that.

[00:30:52] Sue Bryce | A timeline is the next congruent step. How do they get from a survival budget to a Thrive budget? Instead of saying, I don't know how that's going to come to me. Like, I want $10,000 a month, but how? That's not manifestation.

[00:31:11] Sue Bryce | You've said I want $10,000 and then you've said I have no idea how to make $10,000, you're not gonna get it. If you want $10,000 a month and you can see a timeline to it, create the steps to that, and then you'll get there. But don't ask how it's coming to you because if you ask how you're not gonna activate it, it's that simple. There are five ways to make more money right now in your business. And if any of these challenge you today, that is your most urgent need right there.

[00:31:41] Sue Bryce | Because all of these come with a big shift in mindset and self value. So if you can't sell more than what you're already selling, ask yourself why if you can't add more products, why are you holding yourself back? If you can't increase your prices, why can't you say it? Because you can't speak money out. If you wanna lower your costs, but you don't know your cost, you're letting your business run itself and it's out of control and it won't be profitable.

[00:32:07] Sue Bryce | And if you can't add more value because you don't believe you're valuable, you can't take those steps. So right there, those are actionable steps that tell me what's wrong in your business right now. Tell me if you can't do one of those five things. That's what I wanna know. Your future money is how you give it direction and connection.

[00:32:26] Sue Bryce | And the more you look at it and the bigger your goals are and the bigger they're connected to you and the more you create a timeline to it and hold a focus to it, the faster those goals come to you. So to me, every single day, I want a daily ritual with money. I want a daily ritual with resetting my goals and getting back into alignment. I do all of that before I get out of the shower. Business is an equal exchange of value.

[00:32:51] Sue Bryce | Business is not manifestation. You are not manifesting a brand. You are building a business and you are offering a product and service that has an equal exchange or value And once you learn, the more value I feel for myself and my product, the more I can charge for it, and the more I will have an equal exchange of energy with somebody who wants my product, the more you will start to value your product. So when people are like manifesting, manifesting, and and I, like, it's not manifestation to me. It's focused.

[00:33:24] Sue Bryce | You can manifest magical connections. You can manifest more opportunities. You can manifest more clients, you know, being attracted to you. You can manifest the next steps in your timeline, but make no mistake about it. Equal exchange is not manifestation.

[00:33:41] Sue Bryce | Alright? It is not manifesting. It's I know what I'm worth, no more and no less. So no more and no less, the law of no more and no less than what I asked for than what I step up to receive than what I believe I'm worth. If you ask for nothing, you get nothing.

[00:33:58] Sue Bryce | If you ask for enough, you get enough, and if you ask for more, you get more, my friends. And if you're connected to what you're asking for and activating a focus and a timeline to it every day, it's coming to you fast and furious. So many people can't tell me their cost of goods sold, and then you don't know your profit margin. And if you don't know your profit margin, you don't know what you're getting paid this month. Stop acting like you're selling, the total amount work out what your profit margin is.

[00:34:27] Sue Bryce | That is your target, and that's where you have to sell from. If you don't have a profit margin, you won't get paid. Tangible manifestation. It's not wishes and kisses. It's I have a valuable brand.

[00:34:41] Sue Bryce | I have a valuable product and service, and now I can create a goal with this product to service. I created the creative product collect calculator I called it because to me, that's exactly how I would project something. I don't make a product and say, I hope it's good enough. I make a product. I beta test it.

[00:35:02] Sue Bryce | I survey it. I try it. I use it. I fall in love with it. And then I share it.

[00:35:07] Sue Bryce | I share my using it. I don't sell it. It just shared me using it until everyone starts asking for it. Do you have that as a book? Do you have that as a workshop?

[00:35:17] Sue Bryce | Do you do this in person? And I'm like, I shared it, but for me, the goal of what am I pricing in the market? And how many people am I really looking for? Because when I look at this calculator, I spent many years at a $3500 product, okay, because I was a professional photographer that charged 3 and a half $1000. Now to make a $1,000,000 at 3 and a half $1000, I needed to photograph 2 eighty six people at that price point.

[00:35:47] Sue Bryce | So that had to be my complete average. It couldn't be a rolling average, like, you know, 2 to 5000. No. I have a $3,500 average, and I would need 2.86 bums and seats in order to fulfill that. Now when you first start doing that, you think that is, how am I gonna do that?

[00:36:06] Sue Bryce | It doesn't take you long to just start seeing the numbers. Business is a numbers game. And once you position yourself, you also understand there's a glass ceiling there, like, sure, I could photograph two eighty six people for 3 and a half grand and make a $1,000,000, how many staff would I need to do that? How much time would it take to do that? Is it physically possible for me to do that?

[00:36:32] Sue Bryce | With the space that I have and the product I have. So is that even a viable path? The fastest way to think big is to deconstruct what you want. That's how I look at it. If I wanna sell $200 product, and I wanna make a 1,000,000 a $1,000,000 this year, I've gotta find five thousand people that need that $200 product.

[00:36:54] Sue Bryce | And even when I'm conceptualizing the price of it and what even the content is for it, Even in my mind, I'm thinking I want this to sell to five thousand people, so I know that I need to create something that five thousand people need in this space. And it helped me get out of a how mindset and can I mindset into more of a, okay, I never look at things now and say, can I have that? I look at that and say, how did they get that? And how can I take those steps? Towards it.

[00:37:24] Sue Bryce | So I did one for 500,000 because I think it's a really good way for you to project income and also see your glass ceiling and see what you're actually capable of doing. Best piece of advice you got from this workshop is you're not doing it. The best piece of advice I ever got was the moment I realized I was not doing the thing that I felt stuck, not doing. And the doing of it is where the action is formed, and that is so important. Remember this, so many times we get tripped off our own path with self sabotage, doing avoidance behaviors to avoid something in us.

[00:38:01] Sue Bryce | I want you to make the connection to living unfulfilled and always looking fulfilling. Nothing extrindic can fulfill your soul. Nothing you can put in your body will fulfill your soul. It will only fill your belly, and it will fill your mind for a short period of time, and it will distract you, but the things

[00:38:26] Sue Bryce | that fill our soul are not things that alleviate stress. That's just avoidance. And if you get stuck in avoidance, ask yourself

[00:38:39] Sue Bryce | Why am I looking for false fulfillment when I can fulfill myself by walking the path that I truly want? Putting yourself out there is a big one. You'll get over it. Marketing is clarity. Best piece of advice, and I just told Natalie this, she said I filmed myself, on in a video for a reel, and I watched it, and I was like, what?

[00:39:03] Sue Bryce | And I did it again, and I was like, what? And then I watched it again, and I was like, what? And I said, here's the secret. When you watch yourself on video, if you can't watch it yourself, it's not authentic. You're not in your authentic voice.

[00:39:17] Sue Bryce | And the difference is simple. Putting yourself out there is simple. When I'm authentic, I'm not thinking about what I look like. I'm not trying to, like, you know, how some people do reels and they pose? They stand in a pose, and they're like, hi, everybody.

[00:39:31] Sue Bryce | I'm just in, like, I'm just in this pose. I'm like, no. And what it is for me is when I'm recording my self, if I'm looking at my reflection and worrying about how I look, I'm not being authentic. And when it comes to watching it, when it's authentic, you can watch it. It's really weird.

[00:39:47] Sue Bryce | And then you start to do this thing where you're like, oh, my mouth makes a weird shape. And I look kinda old or whatever. And then you go, but I'm kinda quite likable. And I'm funny, and it's like, oh, she's kinda cool. I started to actually like myself.

[00:40:02] Sue Bryce | And that's when I knew I was speaking the most authentically. So the best way to get over that is, I don't know, think of something you really love, like your kids or your dog or whatever, and film yourself talking about something you really love for 2 minutes. Like, really love. Don't look at the camera. Just talk and really like, I love that about them, and you're the only one that's gonna watch it.

[00:40:24] Sue Bryce | And then look back, and when you feel the authenticity in your voice, you will be able to like it and weirdly, you'll start to feel really attracted to yourself. Like, you'll be like, I kinda like this person, and it's when it's really authentic. Okay. So marketing is clarity. If you can't describe it simply, you don't know it well enough.

[00:40:45] Sue Bryce | Einstein said it, it's the truth. And what it really comes down to is do people know who you are and what you do and who you do it for? And you think you're telling people, but you're not. And you think you're describing it really easy, but you're not. So lots more communication and lots more simple communication.

[00:41:05] Sue Bryce | Is it clear who you are, what you do, is it clear what products you sell, how long would it take me on your social media to actually work that out myself just from your 3 by 3 and your profile. So if you have a money problem, then you have a self value problem. If you have a marketing problem, you have a clarity problem and probably a value problem as well. So just go back to the value work. If it's not selling, it's not connected.

[00:41:34] Sue Bryce | I don't care what anybody says. When I'm connected to a product, it sells. When I'm not connected to it, it does not. What is your brand mission? What is your invitation?

[00:41:45] Sue Bryce | What is your promise to your clients? Those are three things I wanna know and there are three things you should be able to answer because, a promise for me is what do you promise those people? You spend money with me, and I promise you. Like, that comes loaded. That's not just that this is what you're getting for your money.

[00:42:05] Sue Bryce | What is your promise and your invitation? How do you invite people to your business? You know, as a photographer, I would always say when was the last time you were photographed professionally? Because straight away, I would get people go, oh, well, my wedding, like, 23 years ago, And inevitably, I would say my invitation to me was I want to photograph you because I want to take the best photograph you have ever seen of yourself. Like, I believe it.

[00:42:42] Sue Bryce | I feel it. And all my goossees, that's my promise. That's my invitation. And I was like, people just knew that I was telling the truth because I am. Find what your truth is when you say it.

